gene	score_topo	score_yatra	score_combined
TP53	29.28425268641413	0.00532195350570856	41.595898622836195
CTNNB1	17.51491279191796	0.00453100741210896	27.75622856625752
EP300	18.347536889252243	0.00366578499839357	26.324101532610666
HRAS	12.21329364372162	0.00378287428582315	20.49634375477985
RAC1	11.338671507866898	0.00329270919343714	18.338696665165838
KRAS	10.477636914276472	0.00300439856655222	16.722998521532098
PIK3CA	8.903195717042733	0.00243154679275632	13.649096975117464
CREBBP	8.43573430335122	0.00211879134896416	12.36298681421285
MAPK1	6.813927042198047	0.00254653684868055	11.860818953170554
CDC42	7.2695246456740605	0.00230381007624252	11.68107040323629
ACOX1	8.621329508580928	0.00161671208755327	11.234371295011968
NRAS	5.967356241999021	0.00256957493728845	11.074551187663307
STAT3	8.674990272088682	0.00152552099181	11.049336049324662
PTEN	6.802752765004743	0.00218489241725405	10.903027225824585
PARK7	9.120292263696058	0.00123617847309135	10.737273476490062
SMARCA4	6.386100622732982	0.00218058839906153	10.475109159421924
NDUFA13	8.901899630767431	0.0010851579887087	10.123579233957697
DAG1	8.066152860737363	0.00139362317190348	10.095251298015391
INS	6.183815624563277	0.00189933045947963	9.536621276689566
POLR2A	5.46112524136756	0.00202449840858181	9.141562551895381
PTPN11	5.064451961075115	0.0021639860488011	9.11000324222696
SMAD4	4.6605278213395795	0.00226167612151707	8.961786420242325
ATM	5.607061241055395	0.00188061771443114	8.910885602544118
VAMP2	5.840210453966042	0.00148864325195248	8.118027406097152
SNCA	5.203274587630055	0.00173118059258386	8.11594184852901
NOTCH1	5.063933659272223	0.00176767792405126	8.07213401248168
PPP2CA	5.0990434811512095	0.0017376455474703	8.028632996558036
STX1A	4.34049182886527	0.00201393999617908	7.993292110981212
MTOR	6.2842105022191985	0.00126493342180802	7.976458838928469
AGO2	5.347978649631015	0.00162100880013904	7.972267237501626
EPRS1	5.21889608499655	0.00163895350740096	7.890155596669335
ACTB	5.377606400791106	0.0015341648474692	7.774577784541542
RB1	5.371978068898152	0.00149042848015841	7.654467920776598
UQCRFS1	5.410331290994375	0.00143275746283507	7.541865157871222
ATP5F1A	4.809285537262111	0.0014362667966019	6.95000521288759
MECP2	4.0771903188551875	0.00169259347041014	6.888854384276376
PPP2R5D	4.828855652910695	0.00138827640435999	6.843958731712961
RAF1	3.792846813083056	0.00172939544479917	6.700841384740196
AR	4.214645822070695	0.00156749418056061	6.6988579471808976
CTBP1	3.39870621467485	0.00178111467223957	6.442077744883189
NDUFS2	4.769469071858526	0.00120350697587096	6.300931452606802
PAK1	3.82448588084711	0.00154736433934133	6.256007414561202
YWHAE	4.319151291413489	0.0013562959233488	6.250544298225828
MAPT	3.9268668596342744	0.00147959745832992	6.181006118015702
DPM2	3.8595035417904127	0.00148030040956584	6.115482800594087
APP	3.665055063848426	0.0015505183963273	6.104832456417907
ALDH3A2	4.382376736864526	0.00124387557616698	6.019505396857633
SIN3A	4.054103999927753	0.00134084309292759	5.94504866118347
SOS1	3.3015166341730975	0.00162076395316883	5.925164326195531
MAP2K1	4.181879665458879	0.00127715246179829	5.9061117836777335
DLD	3.726792373881636	0.00143923919319336	5.8752924056739495
GNB1	2.9919713024427996	0.00166906372110997	5.742045393431367
NDUFS3	4.371117359881291	0.00113911799990659	5.734039254592191
AGRN	3.44264017460239	0.00149038938631522	5.725027696924672
GOT2	3.2379137963540843	0.00155904950811259	5.700021684248226
VCP	2.947892156404881	0.00165510570840001	5.661430641553803
AP2M1	3.0537719297868504	0.00160408773375151	5.633769011067837
NDUFA8	4.574392100312101	0.00100395592095677	5.583522338317192
KDM1A	3.1978882720611557	0.00148813796649661	5.474382621137249
NDUFV1	4.496303321768059	9.8188314583844e-4	5.447657268243128
COX5A	3.964687796574807	0.0011246123037446	5.289640504094329
UQCRC1	4.294383846481145	9.9813200576077e-4	5.288269774678957
NDUFA12	4.323539346899356	9.7718390219119e-4	5.262592852243728
EZH2	2.91990150436905	0.00148955541872427	5.200106086195493
NDUFA6	4.266942889867215	9.4970826521954e-4	5.134077916309999
NDUFB8	4.019587745817191	0.00102317135235778	5.079015074267332
KARS1	3.8085993158493476	0.00106856828828217	4.986854774902749
HTT	3.401028422809352	0.00120970198302853	4.948706460068762
NDUFA9	3.944591003862051	9.9931043116332e-4	4.941561503403481
NDUFS1	3.917625091808779	9.9319907669667e-4	4.898598898799517
ACTA1	2.936393164499741	0.00135461222790894	4.863379037272086
GLI2	3.019471344087056	0.00129130252787393	4.78074177481408
GNAI1	2.959197148399404	0.00130944203850203	4.767948407823438
YARS1	2.579899080799715	0.00144504448211592	4.74359466745125
NDUFA2	3.970577047169631	9.1045964541463e-4	4.734977384030208
GPHN	2.680169218811306	0.00140238239239649	4.7321952342514315
