from	to	score
ATP6V0A2	ATP6AP2	967
ATP6V1A	ATP6AP1	992
ATP6V1A	ATP6AP2	987
ATP6V1A	ATP6V0A2	987
ATP6V1A	ATP6V1B2	999
ATP6V1A	FLCN	946
ATP6V1A	FNIP1	902
ATP6V1A	KPTN	900
ATP6V1A	SZT2	900
ATP6V1B2	ATP6AP1	994
ATP6V1B2	ATP6AP2	987
ATP6V1B2	ATP6V0A2	981
ATP6V1B2	FLCN	902
ATP6V1B2	FNIP1	900
ATP6V1B2	KPTN	900
ATP6V1B2	SZT2	900
ATP6V1E1	ATP6AP1	975
ATP6V1E1	ATP6AP2	970
ATP6V1E1	ATP6V0A1	990
ATP6V1E1	ATP6V0A2	977
ATP6V1E1	ATP6V1A	999
ATP6V1E1	ATP6V1B2	999
ATP6V1E1	FLCN	900
ATP6V1E1	FNIP1	900
ATP6V1E1	KPTN	900
ATP6V1E1	SZT2	900
ATP7A	EIF4G1	987
ATP7B	CP	921
ATRX	AR	910
ATRX	MECP2	993
ATXN1	CIC	994
ATXN1	HTT	903
ATXN1	RBPJ	975
ATXN10	IQCB1	910
ATXN2	ATXN3	972
ATXN2	DDX6	993
AUTS2	RNF2	924
B3GALNT2	DAG1	966
B3GALT6	AGRN	930
B3GALT6	GPC3	925
B3GAT3	AGRN	913
B3GAT3	B3GALT6	988
B3GAT3	CSGALNACT1	956
B3GAT3	GPC3	925
B3GAT3	GPC4	930
B3GAT3	HSPG2	929
B4GALNT1	SLC33A1	939
B4GALNT1	ST3GAL5	977
B4GALT1	GALE	938
B4GALT7	AGRN	916
B4GALT7	B3GALT6	994
B4GALT7	B3GAT3	921
B4GALT7	GPC3	922
B4GALT7	GPC4	927
B4GALT7	HSPG2	919
B4GALT7	XYLT1	983
B4GAT1	LARGE1	938
B9D1	AHI1	966
B9D1	CC2D2A	992
B9D1	CEP290	964
B9D1	MKS1	945
B9D1	TCTN1	977
B9D1	TCTN2	970
B9D1	TCTN3	957
B9D1	TMEM107	901
B9D1	TMEM216	988
B9D1	TMEM67	977
B9D2	AHI1	955
B9D2	B9D1	988
B9D2	CC2D2A	980
B9D2	CEP290	935
B9D2	MKS1	933
B9D2	TCTN1	989
B9D2	TCTN2	962
B9D2	TCTN3	942
B9D2	TMEM216	981
B9D2	TMEM231	991
B9D2	TMEM67	970
BAP1	PCGF2	907
BAZ1B	SMARCA4	986
BAZ1B	SMARCD1	943
BAZ1B	VDR	982
BBIP1	BBS12	969
BBIP1	TTC8	979
BBS1	ARL6	978
BBS1	BBIP1	989
BBS1	BBS10	994
BBS1	BBS12	993
BBS1	TTC8	999
BBS10	BBIP1	966
BBS10	BBS12	998
BBS10	TTC8	975
BBS12	TTC8	977
BBS2	ARL6	940
BBS2	BBIP1	979
BBS2	BBS1	999
BBS2	BBS10	994
BBS2	BBS12	994
BBS2	BBS4	999
BBS2	BBS5	999
BBS2	BBS7	999
BBS2	CCT5	903
BBS2	LZTFL1	979
BBS2	MKKS	985
BBS2	TTC8	996
BBS4	ARL6	928
BBS4	BBIP1	994
BBS4	BBS1	999
BBS4	BBS10	981
BBS4	BBS12	987
BBS4	BBS5	999
BBS4	CCT5	905
BBS4	CEP290	956
BBS4	LZTFL1	979
BBS4	TTC8	997
BBS5	ARL6	935
BBS5	BBIP1	979
BBS5	BBS1	999
BBS5	BBS10	993
BBS5	BBS12	993
BBS5	LZTFL1	990
BBS5	TTC8	998
BBS7	ARL6	940
BBS7	BBIP1	985
BBS7	BBS1	999
BBS7	BBS10	996
BBS7	BBS12	998
BBS7	BBS4	999
BBS7	BBS5	999
BBS7	CCT5	904
BBS7	LZTFL1	986
BBS7	TTC8	997
BBS9	ARL6	937
BBS9	BBIP1	996
BBS9	BBS1	999
BBS9	BBS10	996
BBS9	BBS12	995
BBS9	BBS2	999
BBS9	BBS4	999
BBS9	BBS5	999
BBS9	BBS7	999
BBS9	CCT5	905
BBS9	LZTFL1	992
BBS9	MKKS	969
BBS9	TTC8	999
BCKDHA	ACAD8	919
BCKDHA	ACADSB	942
BCKDHA	BCKDHB	999
BCKDHA	BCKDK	974
BCKDHA	DBT	995
BCKDHA	GCSH	926
BCKDHA	IVD	969
BCKDHA	LIPT1	926
BCKDHA	PCCA	977
BCKDHA	PCCB	970
BCKDHA	PDHB	989
BCKDHB	ACADSB	944
BCKDHB	BCKDK	960
BCKDHB	DBT	997
BCKDHB	GCSH	926
BCKDHB	IVD	977
BCKDHB	LIPT1	949
BCKDHB	PCCA	988
BCKDHB	PCCB	986
BCKDHB	PDHA1	958
BDNF	GRIN2B	905
BICD2	DCTN1	968
BICD2	DYNC1I2	903
BICD2	PAFAH1B1	958
BICD2	RAB18	901
BICD2	RAB3GAP1	900
BICD2	RAB3GAP2	912
BICRA	SMARCA4	961
BIN1	DNM1	981
BIN1	DNM2	991
BIN1	MAPT	957
BIN1	PPP3CA	910
BIN1	SYNJ1	967
BMP1	COL11A1	929
BMP1	COL2A1	930
BMP1	COL5A1	970
BMP1	COL5A2	950
BMP1	HSPG2	960
BMP2	AHSG	940
BMP4	AHSG	916
BMP4	BMP2	907
BMP4	BMPR1A	999
BMP4	MAP3K7	927
BMP4	NKX2-5	979
BMP4	SHH	926
BMP4	SMAD4	964
BMPER	BMP2	968
BMPR1A	AHSG	903
BMPR1A	BMP2	999
BOLA3	IBA57	942
BOLA3	ISCA2	930
BOLA3	NFU1	956
BPTF	ARID2	974
BPTF	ATRX	950
BPTF	CHD1	915
BPTF	PPA2	959
BPTF	SETD2	970
BPTF	SMARCA4	917
BRAF	HRAS	999
BRAF	MAP2K1	999
BRAF	MRAS	937
BRAF	NRAS	998
BRAF	PPP1CB	911
BRAF	PPP2CA	943
BRAF	PPP2R1A	906
BRAF	PPP2R5D	910
BRAF	RIT1	933
BRAF	SHOC2	952
BRAF	YWHAG	977
BRCA2	CHEK2	961
BRCA2	POLD1	962
BRD4	AR	994
BRD4	BICRA	909
BRD4	CHD8	959
BRD4	NSD2	965
BRD4	SMARCA4	946
BRD4	TP53	990
BRPF1	KAT6A	999
BSND	CLCNKB	995
BUB1	ASPM	993
BUB1	BUB3	999
BUB1	KIF14	902
BUB1	KIF15	959
BUB1	PPP2CA	915
BUB1	PPP2R1A	939
BUB1	PTPA	945
BUB1B	ANAPC7	995
BUB1B	ASPM	973
BUB1B	BUB1	998
BUB1B	BUB3	999
BUB1B	FZR1	974
BUB1B	KIF15	955
BUB1B	PTPA	988
BUD23	RPS20	905
CA8	WDR81	911
CACNA1A	CACNA2D2	956
CACNA1A	GNB1	940
CACNA1C	CACNA1D	976
CACNA1C	CACNA1S	903
CACNA1C	CACNA2D1	992
CACNA1C	CACNA2D2	946
CACNA1C	GNB1	925
CACNA1C	GNB2	907
CACNA1C	INS	936
CACNA1C	KCNMA1	935
CACNA1C	RYR1	955
CACNA1C	STIM1	961
CACNA1C	STXBP1	926
CACNA1C	VAMP2	927
CACNA1D	CACNA1S	952
CACNA1D	CACNA2D1	989
CACNA1D	CACNA2D2	944
CACNA1D	GNB1	904
CACNA1D	GNB2	904
CACNA1D	INS	934
CACNA1D	STXBP1	922
CACNA1D	VAMP2	921
CACNA1E	CACNA2D2	928
CACNA2D1	CACNA1B	924
CACNA2D1	CACNA1E	911
CACNA2D1	CACNA1S	989
CACNA2D1	RYR1	905
CACNA2D2	GNB1	901
CAD	CPS1	904
CAD	GFPT1	964
CAD	GLS	926
CAD	GLUL	946
CAD	NAT8L	902
CAMK2A	GRIA3	961
CAMK2A	GRIN2B	999
CAMK2A	HRAS	910
CAMK2A	MECP2	928
CAMK2B	CAMK2A	996
CAMK2B	GRIA3	948
CAMK2B	HRAS	911
CAMK2B	MECP2	902
CAMK2G	AGK	900
CAMK2G	ATG7	903
CAMK2G	CAMK2A	960
CAMK2G	CAMK2B	953
CAMK2G	EPB41L1	905
CAMK2G	FXR1	925
CAMK2G	GRIA3	943
CAMK2G	GRIN2A	917
CAMK2G	GRIN2B	961
CAMK2G	HRAS	910
CAMK2G	LMNA	900
CAMK2G	MAPT	925
CAMK2G	MECP2	906
CAMK2G	MEF2C	910
CAMK2G	NRAS	904
CAMK2G	TRAK1	902
CAMKMT	PREPL	916
CANT1	IMPDH1	906
CANT1	IMPDH2	901
CANT1	ITPA	933
CAPN1	ACTN2	924
CAPN1	TTN	903
CARS1	GARS1	929
CARS1	LARS1	976
CARS1	RPS20	930
CARS1	SARS2	913
CARS1	VARS2	917
CARS2	AARS1	908
CARS2	EPRS1	949
CARS2	IARS1	928
CARS2	IARS2	925
CARS2	LARS1	930
CARS2	SARS2	917
CARS2	YARS1	972
CASK	GRIN2B	907
CASK	NRXN1	929
CASK	TBR1	975
CASP2	EIF4G1	905
CASP2	LMNA	923
CBL	CDC42	992
CBL	CSF1R	992
CBL	CTNNB1	913
CBL	CUBN	938
CBL	DNM2	946
CBL	EFL1	944
CBL	FGFR3	928
CBL	GNB1	901
CBL	HLA-DRB1	903
CBL	INPPL1	984
CBL	INS	958
CBL	INSR	937
CBL	KIT	978
CBL	PDGFB	904
CBL	PIK3CG	926
CBL	PTPN11	985
CBL	SOS1	978
CBL	SPRY4	975
CBL	TGFBR2	911
CC2D2A	CEP290	996
CC2D2A	TCTN3	951
CC2D2A	TMEM216	981
CCT5	ACTB	936
CCT5	BBIP1	900
CCT5	BBS1	904
CCT5	BBS10	961
CCT5	BBS5	904
CCT5	PPP2CA	994
CCT5	TTC8	905
CDC40	CWC27	940
CDC40	DHX16	988
CDC40	PPIL1	999
CDC40	RNF113A	972
CDC42	BDNF	943
CDC42	DAG1	916
CDC42	DCC	945
CDC42	GNB1	950
CDC42	LAMA2	908
CDC42	LAMB2	910
CDH2	BDNF	939
CDH2	CDC42	967
CDH2	CDON	946
CDH2	CTNNA2	936
CDH2	CTNNB1	999
CDH2	CTNND2	992
CDH2	FGFR1	994
CDH2	GJA1	998
CDH2	GRIA2	998
CDH2	LRP5	999
CDH2	NTRK2	933
CDH2	PSEN1	987
CDH2	PTPN11	944
CDH2	RAC1	942
CDK13	MMP23B	910
CDK13	POLR2A	915
CDK19	CDK8	973
CDK19	MED12	996
CDK19	MED12L	983
CDK19	MED13	998
CDK8	MED12L	972
CDK8	MED13	999
CDK8	POLR2A	985
CDKL5	MECP2	933
CDON	GLI2	969
CEP120	KIAA0586	903
CERT1	VAPB	926
CFL2	ACTA1	944
CFL2	ACTB	986
CFL2	LIMK1	967
CHAT	CHKB	902
CHAT	HSD17B4	912
CHAT	SLC18A3	957
CHCHD2	CHCHD10	994
CHD3	BRPF1	917
CHD3	KAT6A	922
CHD3	KDM1A	909
CHD3	TBP	925
CHD4	BRPF1	923
CHD4	CHD3	988
CHD4	GATAD2B	998
CHD4	KAT6A	923
CHD4	KDM1A	959
CHD4	SMARCA4	933
CHD4	TBP	954
CHD5	GATAD2B	953
CHD8	KMT2A	969
CHD8	TAF1	950
CHD8	TAF6	923
CHKA	CHAT	920
CHKA	PCYT1A	978
CHKA	PCYT2	980
CHKB	PCYT2	982
CHMP1A	SNF8	907
CHMP2B	ARL13B	905
CHMP2B	CHMP1A	983
CHMP2B	PARK7	932
CHMP2B	SNF8	950
CHMP2B	TUBA1A	902
CHMP2B	TUBA8	907
CHMP2B	TUBB2A	901
CHMP2B	TUBB4A	901
CHMP2B	TUBB4B	901
CHMP2B	UBAP1	941
